Transcript.ID score S1 S2 S3 S4 S5 S6 S7 S8 maxn n peak
TRINITY_DN6_c0_g1_i3 1 NaN NaN NaN NaN NaN NaN 0.4041390536330507 NaN 0.4041390536330507 1 S7
TRINITY_DN6_c0_g1_i9 0.14179856452242212 0.8818556393166617 0.9342996509998178 1.2617703384641858 1.2572124052166862 1.1075428761345743 1.3222062639039625 1.3343248473649798 1.2509493217782914 1.3343248473649798 8 S7
TRINITY_DN6_c0_g1_i12 0.3405095405343321 1.242210880725076 1.104423764627132 1.925244406905741 2.03944734072865 1.3591471846104648 1.6394918737048199 1.279936151206232 2.2939575006108854 2.2939575006108854 8 S8
TRINITY_DN19_c0_g2_i3 0.3933091862398725 0.8068958559769452 1.1075832416586646 0.7842885602156686 0.6385137172538166 0.6074816169151118 0.6119454697818858 0.6780832436472531 0.5765155835321449 1.1075832416586646 8 S2
TRINITY_DN19_c0_g2_i2 0.34161420570676987 2.2677514965947325 1.8013698095906439 2.006465092909178 1.3164066396485818 1.492381451210931 0.8486538583665872 NaN NaN 2.2677514965947325 6 S1
TRINITY_DN19_c0_g2_i4 0.2857842068212775 0.9929681857795396 0.9798196103096855 0.5139349603343781 0.8000534236604042 0.7041498297887925 0.78321062427885 0.4739929140745156 NaN 0.9929681857795396 7 S1
TRINITY_DN19_c0_g2_i6 0.39784474955759375 5.226515843105943 4.782874613066444 2.812041491132209 3.080327472085881 2.80160921308786 3.3362577784818663 2.89337398720161 2.323733140070774 5.226515843105943 8 S1
TRINITY_DN27_c0_g1_i8 0.35226817936700244 0.30171779599745463 0.2893659268921285 0.4940873340278662 NaN 0.3531887588985896 0.33019568724079296 0.32571227307890327 NaN 0.4940873340278662 6 S3
TRINITY_DN27_c0_g1_i14 0.16150436004078114 NaN 0.3886307018856461 0.28155719732884066 0.3006892489192792 0.32301302946923194 NaN 0.33589913263727356 0.3881671370724007 0.3886307018856461 6 S2
TRINITY_DN27_c0_g3_i4 0.28769357514832966 1.24776570582417 1.061837458776834 NaN 1.2573282702167758 1.075110830952297 0.7048010181120152 1.571474932542552 1.369386861778339 1.571474932542552 7 S7
TRINITY_DN35_c0_g1_i4 0.18876960083154706 1.477785078858025 1.5030283137895664 1.9185338913194576 1.692547865956162 1.5172533302383036 1.91608978953518 2.097430495493434 1.8852573769138765 2.097430495493434 8 S7
TRINITY_DN35_c0_g1_i5 0.09307377360844327 NaN NaN NaN 1.3111007596234368 1.5156349146984924 NaN NaN 1.4380373479261488 1.5156349146984924 3 S5
TRINITY_DN35_c0_g1_i6 0.2850475829978752 0.7564492645432521 0.6868923528235088 0.536796774442036 0.5249602106802023 0.5600227030169069 0.4632669521516588 0.7235074030858367 0.849586142204315 0.849586142204315 8 S8
TRINITY_DN35_c0_g1_i3 0.3795236237071456 0.2945949152061753 0.2958868269124541 0.36502875713937666 0.3006892489192792 0.3955760075769428 0.4879161354731251 0.4147738842886297 0.5881346916007825 0.5881346916007825 8 S8
TRINITY_DN57_c0_g2_i1 0.269360175343397 1.4305132316868256 1.7884128726401542 1.806177421090175 1.9414922941749362 1.6837569356104598 2.29903180952926 1.772943633236072 1.3350529989222553 2.29903180952926 8 S6
TRINITY_DN57_c0_g2_i3 0.3126650147163602 0.5037373725210985 0.6430771946882636 1.022560773932421 0.7819091390036945 0.8542847256104862 0.7581961414014332 0.8072183535856565 0.5714696347066424 1.022560773932421 8 S3
TRINITY_DN57_c0_g2_i2 0.3464360298348215 0.7148520372085958 NaN 0.7409957155398246 1.2661531515332443 0.8191832870158047 0.7628347174870083 0.7916466757175759 1.1355600503505103 1.2661531515332443 7 S4
TRINITY_DN97_c0_g1_i1 0.6990174900266692 NaN 0.7528095244823341 NaN NaN 0.9126085629942882 0.7053660235343129 1.7205870189902424 3.3983462447400212 3.3983462447400212 5 S8
TRINITY_DN97_c0_g1_i2 0.7046107703598529 0.8091606416193531 0.7440350643874778 0.7645733226317821 0.9467427570094458 0.8470564921100427 0.7233410077603599 1.9485863605587495 3.2806572120554716 3.2806572120554716 8 S8
TRINITY_DN87_c0_g2_i2 0.13604892068420305 NaN 0.9023635907277727 0.6568652125852603 NaN 0.9264621539089171 0.8597863763392808 0.9680748753189445 NaN 0.9680748753189445 5 S7
TRINITY_DN76_c0_g3_i2 0.19102388515518628 4.089840427916206 4.5211483800658865 4.971122782666409 4.355875943226412 4.361950258818411 3.723093520113875 3.415667199700963 3.6830614361243224 4.971122782666409 8 S3
TRINITY_DN76_c0_g3_i1 0.38825844992069464 1.400565285013421 1.1534805358215896 0.9483296636489277 0.6471668553241301 0.7918990478941869 0.7662214169908511 0.8084987355205557 0.8818915938893781 1.400565285013421 8 S1
TRINITY_DN140_c0_g1_i7 0.43255078889648485 2.971999595484355 3.001940389838063 2.3415554122421587 3.279307487123385 1.8870902251263415 2.52250980991778 4.943516989920502 3.6319607923184067 4.943516989920502 8 S7
TRINITY_DN102_c1_g1_i5 0.08714264991897674 NaN NaN NaN 0.3842832136833394 0.3531887588985896 NaN 0.34840275334859605 NaN 0.3842832136833394 3 S4
TRINITY_DN102_c1_g1_i4 0.3563076431731948 NaN NaN 0.2289534349285276 NaN NaN 0.695791390638845 0.8352902778796357 0.9114266490716213 0.9114266490716213 4 S8
TRINITY_DN102_c1_g1_i1 0.31049135570177044 0.2296547050884592 NaN 0.3214512141919501 0.5057077001662678 0.5071967376895582 0.3471988294413242 0.5794675384508867 0.6020414550817357 0.6020414550817357 7 S8
TRINITY_DN102_c1_g1_i3 0.6444115641528717 0.21891733825740545 0.24299239364781489 0.3615434469030709 0.37804533541317786 0.5199346330059855 0.9924712054880489 1.1419560578749899 1.549086376222142 1.549086376222142 8 S8
TRINITY_DN157_c0_g2_i1 0.22854447007137413 0.8210046436061814 0.9455729373668701 1.1639630382554726 0.8737808156108886 0.9296209152052013 0.8592359579109677 0.9006105525228486 0.9557942352400057 1.1639630382554726 8 S3
TRINITY_DN157_c0_g2_i3 0.18026574850865873 0.7898550070990886 0.9832185528762123 0.8969543637452757 1.0857290716932546 NaN NaN NaN NaN 1.0857290716932546 4 S4
TRINITY_DN146_c0_g1_i4 0.19960801242808743 0.3735901045776808 0.40445676829041055 0.4190569849686178 0.360806604068791 0.35762604942035053 0.4548277251457944 0.31466904218420577 0.318077715015721 0.4548277251457944 8 S6
TRINITY_DN146_c0_g1_i5 0.24660467592064936 0.43587088064698715 0.5328165170544805 0.37286582159716364 0.4166617387658835 0.46522202740232554 0.3530080584303117 0.4108090208562545 0.3555127600887123 0.5328165170544805 8 S2
