ID	type
MA_10099684g0010	gene
MA_10099693g0010	gene
MA_10100027g0010	gene
MA_101003g0010	gene
MA_10100606g0010	gene
MA_10101302g0010	gene
MA_10101473g0010	gene
MA_10101825g0010	gene
MA_10101994g0010	gene
MA_10101g0010	gene
MA_10102015g0010	gene
MA_10102124g0010	gene
MA_10102246g0010	gene
MA_10102274g0010	gene
MA_101024g0010	gene
MA_101025g0010	gene
MA_10102670g0010	gene
MA_10103038g0010	gene
MA_10103335g0010	gene
MA_101037g0010	gene
MA_101037g0020	gene
MA_101038g0010	gene
MA_101038g0020	gene
MA_10103971g0010	gene
MA_10104236g0010	gene
MA_10104334g0010	gene
MA_10105289g0010	gene
MA_10105408g0010	gene
MA_10105635g0010	gene
MA_10106258g0010	gene
MA_1010630g0010	gene
MA_10106333g0010	gene
MA_10106369g0010	gene
MA_101065g0010	gene
MA_10106734g0010	gene
MA_10106735g0010	gene
MA_101067g0010	gene
MA_10107198g0010	gene
MA_10107355g0010	gene
MA_101073g0010	gene
MA_10107625g0010	gene
MA_10107971g0010	gene
MA_10108066g0010	gene
MA_10108167g0010	gene
MA_101084g0010	gene
MA_101085g0010	gene
MA_10109059g0010	gene
MA_101092g0010	gene
MA_101097g0010	gene
MA_10110465g0010	gene
MA_101107g0010	gene
MA_10110965g0010	gene
MA_101113g0020	gene
MA_10111401g0010	gene
MA_10111432g0010	gene
MA_101117g0010	gene
MA_101119g0010	gene
MA_10112138g0010	gene
MA_10112562g0010	gene
MA_10112741g0010	gene
MA_10112768g0010	gene
MA_10112862g0010	gene
MA_101128g0010	gene
MA_10112904g0010	gene
MA_10113039g0010	gene
MA_10113119g0010	gene
MA_10113463g0010	gene
MA_101135g0010	gene
MA_10114342g0010	gene
MA_10114753g0010	gene
MA_101150g0010	gene
MA_10115166g0010	gene
MA_10115334g0010	gene
MA_10115609g0010	gene
MA_10115988g0010	gene
MA_101160g0010	gene
MA_10117005g0010	gene
MA_10117092g0010	gene
MA_10117352g0010	gene
MA_10117499g0010	gene
MA_10117849g0010	gene
MA_10117897g0010	gene
MA_10117g0030	gene
MA_10117g0040	gene
MA_10118123g0010	gene
MA_10118545g0010	gene
MA_10118613g0010	gene
MA_101187g0010	gene
MA_10119331g0010	gene
MA_101195g0010	gene
MA_10119918g0010	gene
MA_10120262g0010	gene
MA_10120265g0010	gene
MA_1012053g0010	gene
MA_10120560g0010	gene
MA_101209g0010	gene
MA_10121908g0010	gene
MA_10121946g0020	gene
MA_10122110g0010	gene
MA_10122399g0010	gene
